id,country,continent,happiness,immigrant
111245,Australia,Australia,7.41,0
13417,Philippines,Asia,5.33,0
391011,Belgium,Europe,7.03,0
143824,Liberia,Africa,4.08,0
512471,Congo-Brazzaville,Africa,4.49,0
337602,Nigeria,Africa,5.31,0
503479,Tanzania,Africa,4,0
205103,Pakistan,Asia,5.56,0
487386,Costa Rica,North America,7.35,0
178342,Peru,South America,6.16,0
545950,Romania,Europe,5.26,0
51532,Australia,Australia,7.54,1
27872,Guinea,South America,3.93,0
425246,Benin,Africa,3.73,0
377388,Mongolia,Asia,4.69,0
216985,Honduras,North America,5.08,1
384869,Colombia,South America,6.06,0
239555,Serbia,Europe,4.92,0
30113,Poland,Europe,5.65,0
265766,Iceland,Europe,7.28,0
443202,Suriname,Asia,6.37,0
241687,Canada,North America,7.43,0
232496,Sweden,Europe,7.65,0
418975,Jordan,Asia,5.02,0
125791,Dominican Republic,North America,4.71,0
423186,France,Europe,6.64,0
199151,Guinea,South America,3.71,0
248845,Zambia,Africa,4.77,1
144594,China,Asia,4.83,0
430585,Japan,Asia,6.11,1
332755,Nicaragua,North America,5.65,1
309255,Sierra Leone,Africa,4.09,1
432488,Slovenia,Europe,6.12,0
435770,Libya,Africa,5.18,0
49090,Uganda,Africa,4.51,0
246361,France,Europe,6.67,0
111084,Myanmar,Asia,4.54,0
220238,Palestinian Territories,Asia,4.54,0
415028,Sri Lanka,Asia,4.12,0
492061,Suriname,Asia,6.15,0
9260,Trinidad and Tobago,North America,6.68,0
172123,Ukraine,Europe,4.94,0
241496,Iceland,Europe,7.13,1
77657,Tunisia,Africa,4.83,0
458589,Angola,Africa,5.36,1
57798,Venezuela,South America,7.26,0
238653,France,Europe,6.7,0
354197,Italy,Europe,6.03,0
471401,Libya,Africa,5.28,0
100542,Kenya,Africa,4.53,0
498409,Slovenia,Europe,5.98,0
574401,El Salvador,North America,5.71,0
288055,Sierra Leone,Africa,4.51,0
353337,Nepal,Asia,4.09,0
19433,Libya,Africa,5.36,0
294891,Paraguay,South America,5.85,0
579272,Benin,Africa,3.6,0
377952,Qatar,Asia,6.59,0
377430,Burundi,Africa,3.52,0
380882,Brazil,South America,6.83,0
88479,Norway,Europe,7.55,0
512061,Japan,Asia,6.05,0
275192,Sudan,Africa,4.72,1
217281,Afghanistan,Asia,3.68,0
132245,Cyprus,Europe,6.1,0
260193,South Korea,Asia,6.27,1
275152,Angola,Africa,5.29,0
367731,Ecuador,South America,5.92,0
129167,China,Asia,4.89,0
594232,Brazil,South America,6.97,0
324198,Burkina Faso,Africa,4.29,0
289898,Lithuania,Europe,5.65,1
253146,Malaysia,Asia,5.71,0
237858,Uruguay,South America,6.67,0
536099,United Arab Emirates,Asia,7.25,1
62579,Albania,Europe,5.41,0
422062,Liberia,Africa,4.28,0
112980,Nigeria,Africa,4.99,0
575061,Malaysia,Asia,5.77,0
298691,Germany,Europe,6.56,0
164293,Benin,Africa,3.44,0
349894,China,Asia,4.59,0
415223,Algeria,Africa,5.27,0
473548,Ireland,Europe,7.31,0
340254,Ethiopia,Africa,4.79,0
256506,Poland,Europe,6.01,0
473304,Argentina,South America,6.43,0
